pokemon,url,pokedex_num,elem_1,elem_2,species,height_meters,weight_kg,male,female,hp,attack,defense,sp_atk,sp_def,speed,total
Clefable,https://pokemondb.net/pokedex/clefable,0036,Fairy,,Fairy Pokémon,1.3,40,25,75,95,70,73,95,90,60,483
Vulpix,https://pokemondb.net/pokedex/vulpix,0037,Fire,,Fox Pokémon,0.6,9.9,25,75,38,41,40,50,65,65,299
Ninetales,https://pokemondb.net/pokedex/ninetales,0038,Fire,,Fox Pokémon,1.1,19.9,25,75,73,76,75,81,100,100,505
Jigglypuff,https://pokemondb.net/pokedex/jigglypuff,0039,Normal,Fairy,Balloon Pokémon,0.5,5.5,25,75,115,45,20,45,25,20,270
Wigglytuff,https://pokemondb.net/pokedex/wigglytuff,0040,Normal,Fairy,Balloon Pokémon,1,12,25,75,140,70,45,85,50,45,435
Zubat,https://pokemondb.net/pokedex/zubat,0041,Poison,Flying,Bat Pokémon,0.8,7.5,50,50,40,45,35,30,40,55,245
Golbat,https://pokemondb.net/pokedex/golbat,0042,Poison,Flying,Bat Pokémon,1.6,55,50,50,75,80,70,65,75,90,455
Oddish,https://pokemondb.net/pokedex/oddish,0043,Grass,Poison,Weed Pokémon,0.5,5.4,50,50,45,50,55,75,65,30,320
Gloom,https://pokemondb.net/pokedex/gloom,0044,Grass,Poison,Weed Pokémon,0.8,8.6,50,50,60,65,70,85,75,40,395
Vileplume,https://pokemondb.net/pokedex/vileplume,0045,Grass,Poison,Flower Pokémon,1.2,18.6,50,50,75,80,85,110,90,50,490
Paras,https://pokemondb.net/pokedex/paras,0046,Bug,Grass,Mushroom Pokémon,0.3,5.4,50,50,35,70,55,45,55,25,285
Parasect,https://pokemondb.net/pokedex/parasect,0047,Bug,Grass,Mushroom Pokémon,1,29.5,50,50,60,95,80,60,80,30,405
Venonat,https://pokemondb.net/pokedex/venonat,0048,Bug,Poison,Insect Pokémon,1,30,50,50,60,55,50,40,55,45,305
Venomoth,https://pokemondb.net/pokedex/venomoth,0049,Bug,Poison,Poison Moth Pokémon,1.5,12.5,50,50,70,65,60,90,75,90,450
Diglett,https://pokemondb.net/pokedex/diglett,0050,Ground,,Mole Pokémon,0.2,0.8,50,50,10,55,25,35,45,95,265
Dugtrio,https://pokemondb.net/pokedex/dugtrio,0051,Ground,,Mole Pokémon,0.7,33.3,50,50,35,100,50,50,70,120,425
Meowth,https://pokemondb.net/pokedex/meowth,0052,Normal,,Scratch Cat Pokémon,0.4,4.2,50,50,40,45,35,40,40,90,290
Persian,https://pokemondb.net/pokedex/persian,0053,Normal,,Classy Cat Pokémon,1,32,50,50,65,70,60,65,65,115,440
Psyduck,https://pokemondb.net/pokedex/psyduck,0054,Water,,Duck Pokémon,0.8,19.6,50,50,50,52,48,65,50,55,320
Golduck,https://pokemondb.net/pokedex/golduck,0055,Water,,Duck Pokémon,1.7,76.6,50,50,80,82,78,95,80,85,500
Mankey,https://pokemondb.net/pokedex/mankey,0056,Fighting,,Pig Monkey Pokémon,0.5,28,50,50,40,80,35,35,45,70,305
Primeape,https://pokemondb.net/pokedex/primeape,0057,Fighting,,Pig Monkey Pokémon,1,32,50,50,65,105,60,60,70,95,455
Growlithe,https://pokemondb.net/pokedex/growlithe,0058,Fire,,Puppy Pokémon,0.7,19,75,25,55,70,45,70,50,60,350
Arcanine,https://pokemondb.net/pokedex/arcanine,0059,Fire,,Legendary Pokémon,1.9,155,75,25,90,110,80,100,80,95,555
Poliwag,https://pokemondb.net/pokedex/poliwag,0060,Water,,Tadpole Pokémon,0.6,12.4,50,50,40,50,40,40,40,90,300
Poliwhirl,https://pokemondb.net/pokedex/poliwhirl,0061,Water,,Tadpole Pokémon,1,20,50,50,65,65,65,50,50,90,385
Poliwrath,https://pokemondb.net/pokedex/poliwrath,0062,Water,Fighting,Tadpole Pokémon,1.3,54,50,50,90,95,95,70,90,70,510
Abra,https://pokemondb.net/pokedex/abra,0063,Psychic,,Psi Pokémon,0.9,19.5,75,25,25,20,15,105,55,90,310
Kadabra,https://pokemondb.net/pokedex/kadabra,0064,Psychic,,Psi Pokémon,1.3,56.5,75,25,40,35,30,120,70,105,400
Alakazam,https://pokemondb.net/pokedex/alakazam,0065,Psychic,,Psi Pokémon,1.5,48,75,25,55,50,45,135,95,120,500
Machop,https://pokemondb.net/pokedex/machop,0066,Fighting,,Superpower Pokémon,0.8,19.5,75,25,70,80,50,35,35,35,305
Machoke,https://pokemondb.net/pokedex/machoke,0067,Fighting,,Superpower Pokémon,1.5,70.5,75,25,80,100,70,50,60,45,405
Machamp,https://pokemondb.net/pokedex/machamp,0068,Fighting,,Superpower Pokémon,1.6,130,75,25,90,130,80,65,85,55,505
Bellsprout,https://pokemondb.net/pokedex/bellsprout,0069,Grass,Poison,Flower Pokémon,0.7,4,50,50,50,75,35,70,30,40,300
Weepinbell,https://pokemondb.net/pokedex/weepinbell,0070,Grass,Poison,Flycatcher Pokémon,1,6.4,50,50,65,90,50,85,45,55,390
Victreebel,https://pokemondb.net/pokedex/victreebel,0071,Grass,Poison,Flycatcher Pokémon,1.7,15.5,50,50,80,105,65,100,70,70,490
Tentacool,https://pokemondb.net/pokedex/tentacool,0072,Water,Poison,Jellyfish Pokémon,0.9,45.5,50,50,40,40,35,50,100,70,335
Tentacruel,https://pokemondb.net/pokedex/tentacruel,0073,Water,Poison,Jellyfish Pokémon,1.6,55,50,50,80,70,65,80,120,100,515
Geodude,https://pokemondb.net/pokedex/geodude,0074,Rock,Ground,Rock Pokémon,0.4,20,50,50,40,80,100,30,30,20,300
Graveler,https://pokemondb.net/pokedex/graveler,0075,Rock,Ground,Rock Pokémon,1,105,50,50,55,95,115,45,45,35,390
Golem,https://pokemondb.net/pokedex/golem,0076,Rock,Ground,Megaton Pokémon,1.4,300,50,50,80,120,130,55,65,45,495
Ponyta,https://pokemondb.net/pokedex/ponyta,0077,Fire,,Fire Horse Pokémon,1,30,50,50,50,85,55,65,65,90,410
Rapidash,https://pokemondb.net/pokedex/rapidash,0078,Fire,,Fire Horse Pokémon,1.7,95,50,50,65,100,70,80,80,105,500
Slowpoke,https://pokemondb.net/pokedex/slowpoke,0079,Water,Psychic,Dopey Pokémon,1.2,36,50,50,90,65,65,40,40,15,315
Slowbro,https://pokemondb.net/pokedex/slowbro,0080,Water,Psychic,Hermit Crab Pokémon,1.6,78.5,50,50,95,75,110,100,80,30,490
Magnemite,https://pokemondb.net/pokedex/magnemite,0081,Electric,Steel,Magnet Pokémon,0.3,6,0,0,25,35,70,95,55,45,325
Magneton,https://pokemondb.net/pokedex/magneton,0082,Electric,Steel,Magnet Pokémon,1,60,0,0,50,60,95,120,70,70,465
Farfetch'd,https://pokemondb.net/pokedex/farfetchd,0083,Normal,Flying,Wild Duck Pokémon,0.8,15,50,50,52,90,55,58,62,60,377
Doduo,https://pokemondb.net/pokedex/doduo,0084,Normal,Flying,Twin Bird Pokémon,1.4,39.2,50,50,35,85,45,35,35,75,310
Dodrio,https://pokemondb.net/pokedex/dodrio,0085,Normal,Flying,Triple Bird Pokémon,1.8,85.2,50,50,60,110,70,60,60,110,470
Seel,https://pokemondb.net/pokedex/seel,0086,Water,,Sea Lion Pokémon,1.1,90,50,50,65,45,55,45,70,45,325
Dewgong,https://pokemondb.net/pokedex/dewgong,0087,Water,Ice,Sea Lion Pokémon,1.7,120,50,50,90,70,80,70,95,70,475
Grimer,https://pokemondb.net/pokedex/grimer,0088,Poison,,Sludge Pokémon,0.9,30,50,50,80,80,50,40,50,25,325
Muk,https://pokemondb.net/pokedex/muk,0089,Poison,,Sludge Pokémon,1.2,30,50,50,105,105,75,65,100,50,500
Shellder,https://pokemondb.net/pokedex/shellder,0090,Water,,Bivalve Pokémon,0.3,4,50,50,30,65,100,45,25,40,305
Cloyster,https://pokemondb.net/pokedex/cloyster,0091,Water,Ice,Bivalve Pokémon,1.5,132.5,50,50,50,95,180,85,45,70,525
Gastly,https://pokemondb.net/pokedex/gastly,0092,Ghost,Poison,Gas Pokémon,1.3,0.1,50,50,30,35,30,100,35,80,310
Haunter,https://pokemondb.net/pokedex/haunter,0093,Ghost,Poison,Gas Pokémon,1.6,0.1,50,50,45,50,45,115,55,95,405
Gengar,https://pokemondb.net/pokedex/gengar,0094,Ghost,Poison,Shadow Pokémon,1.5,40.5,50,50,60,65,60,130,75,110,500
Onix,https://pokemondb.net/pokedex/onix,0095,Rock,Ground,Rock Snake Pokémon,8.8,210,50,50,35,45,160,30,45,70,385
Drowzee,https://pokemondb.net/pokedex/drowzee,0096,Psychic,,Hypnosis Pokémon,1,32.4,50,50,60,48,45,43,90,42,328
Hypno,https://pokemondb.net/pokedex/hypno,0097,Psychic,,Hypnosis Pokémon,1.6,75.6,50,50,85,73,70,73,115,67,483
Krabby,https://pokemondb.net/pokedex/krabby,0098,Water,,River Crab Pokémon,0.4,6.5,50,50,30,105,90,25,25,50,325
Kingler,https://pokemondb.net/pokedex/kingler,0099,Water,,Pincer Pokémon,1.3,60,50,50,55,130,115,50,50,75,475
Voltorb,https://pokemondb.net/pokedex/voltorb,0100,Electric,,Ball Pokémon,0.5,10.4,0,0,40,30,50,55,55,100,330
Electrode,https://pokemondb.net/pokedex/electrode,0101,Electric,,Ball Pokémon,1.2,66.6,0,0,60,50,70,80,80,150,490
Exeggcute,https://pokemondb.net/pokedex/exeggcute,0102,Grass,Psychic,Egg Pokémon,0.4,2.5,50,50,60,40,80,60,45,40,325
Exeggutor,https://pokemondb.net/pokedex/exeggutor,0103,Grass,Psychic,Coconut Pokémon,2,120,50,50,95,95,85,125,75,55,530
Cubone,https://pokemondb.net/pokedex/cubone,0104,Ground,,Lonely Pokémon,0.4,6.5,50,50,50,50,95,40,50,35,320
Marowak,https://pokemondb.net/pokedex/marowak,0105,Ground,,Bone Keeper Pokémon,1,45,50,50,60,80,110,50,80,45,425
Hitmonlee,https://pokemondb.net/pokedex/hitmonlee,0106,Fighting,,Kicking Pokémon,1.5,49.8,100,0,50,120,53,35,110,87,455
Hitmonchan,https://pokemondb.net/pokedex/hitmonchan,0107,Fighting,,Punching Pokémon,1.4,50.2,100,0,50,105,79,35,110,76,455
Lickitung,https://pokemondb.net/pokedex/lickitung,0108,Normal,,Licking Pokémon,1.2,65.5,50,50,90,55,75,60,75,30,385
Koffing,https://pokemondb.net/pokedex/koffing,0109,Poison,,Poison Gas Pokémon,0.6,1,50,50,40,65,95,60,45,35,340
Weezing,https://pokemondb.net/pokedex/weezing,0110,Poison,,Poison Gas Pokémon,1.2,9.5,50,50,65,90,120,85,70,60,490
Rhyhorn,https://pokemondb.net/pokedex/rhyhorn,0111,Ground,Rock,Spikes Pokémon,1,115,50,50,80,85,95,30,30,25,345
Rhydon,https://pokemondb.net/pokedex/rhydon,0112,Ground,Rock,Drill Pokémon,1.9,120,50,50,105,130,120,45,45,40,485
Chansey,https://pokemondb.net/pokedex/chansey,0113,Normal,,Egg Pokémon,1.1,34.6,0,100,250,5,5,35,105,50,450
Tangela,https://pokemondb.net/pokedex/tangela,0114,Grass,,Vine Pokémon,1,35,50,50,65,55,115,100,40,60,435
Kangaskhan,https://pokemondb.net/pokedex/kangaskhan,0115,Normal,,Parent Pokémon,2.2,80,0,100,105,95,80,40,80,90,490
Horsea,https://pokemondb.net/pokedex/horsea,0116,Water,,Dragon Pokémon,0.4,8,50,50,30,40,70,70,25,60,295
Seadra,https://pokemondb.net/pokedex/seadra,0117,Water,,Dragon Pokémon,1.2,25,50,50,55,65,95,95,45,85,440
Goldeen,https://pokemondb.net/pokedex/goldeen,0118,Water,,Goldfish Pokémon,0.6,15,50,50,45,67,60,35,50,63,320
Seaking,https://pokemondb.net/pokedex/seaking,0119,Water,,Goldfish Pokémon,1.3,39,50,50,80,92,65,65,80,68,450
Staryu,https://pokemondb.net/pokedex/staryu,0120,Water,,Star Shape Pokémon,0.8,34.5,0,0,30,45,55,70,55,85,340
Starmie,https://pokemondb.net/pokedex/starmie,0121,Water,Psychic,Mysterious Pokémon,1.1,80,0,0,60,75,85,100,85,115,520
Mr. Mime,https://pokemondb.net/pokedex/mr-mime,0122,Psychic,Fairy,Barrier Pokémon,1.3,54.5,50,50,40,45,65,100,120,90,460
Scyther,https://pokemondb.net/pokedex/scyther,0123,Bug,Flying,Mantis Pokémon,1.5,56,50,50,70,110,80,55,80,105,500
Jynx,https://pokemondb.net/pokedex/jynx,0124,Ice,Psychic,Human Shape Pokémon,1.4,40.6,0,100,65,50,35,115,95,95,455
Electabuzz,https://pokemondb.net/pokedex/electabuzz,0125,Electric,,Electric Pokémon,1.1,30,75,25,65,83,57,95,85,105,490
Magmar,https://pokemondb.net/pokedex/magmar,0126,Fire,,Spitfire Pokémon,1.3,44.5,75,25,65,95,57,100,85,93,495
Pinsir,https://pokemondb.net/pokedex/pinsir,0127,Bug,,Stag Beetle Pokémon,1.5,55,50,50,65,125,100,55,70,85,500
Tauros,https://pokemondb.net/pokedex/tauros,0128,Normal,,Wild Bull Pokémon,1.4,88.4,100,0,75,100,95,40,70,110,490
Magikarp,https://pokemondb.net/pokedex/magikarp,0129,Water,,Fish Pokémon,0.9,10,50,50,20,10,55,15,20,80,200
Gyarados,https://pokemondb.net/pokedex/gyarados,0130,Water,Flying,Atrocious Pokémon,6.5,235,50,50,95,125,79,60,100,81,540
Lapras,https://pokemondb.net/pokedex/lapras,0131,Water,Ice,Transport Pokémon,2.5,220,50,50,130,85,80,85,95,60,535
Ditto,https://pokemondb.net/pokedex/ditto,0132,Normal,,Transform Pokémon,0.3,4,0,0,48,48,48,48,48,48,288
Eevee,https://pokemondb.net/pokedex/eevee,0133,Normal,,Evolution Pokémon,0.3,6.5,87.5,12.5,55,55,50,45,65,55,325
Vaporeon,https://pokemondb.net/pokedex/vaporeon,0134,Water,,Bubble Jet Pokémon,1,29,87.5,12.5,130,65,60,110,95,65,525
Jolteon,https://pokemondb.net/pokedex/jolteon,0135,Electric,,Lightning Pokémon,0.8,24.5,87.5,12.5,65,65,60,110,95,130,525
Flareon,https://pokemondb.net/pokedex/flareon,0136,Fire,,Flame Pokémon,0.9,25,87.5,12.5,65,130,60,95,110,65,525
Porygon,https://pokemondb.net/pokedex/porygon,0137,Normal,,Virtual Pokémon,0.8,36.5,0,0,65,60,70,85,75,40,395
Omanyte,https://pokemondb.net/pokedex/omanyte,0138,Rock,Water,Spiral Pokémon,0.4,7.5,87.5,12.5,35,40,100,90,55,35,355
Omastar,https://pokemondb.net/pokedex/omastar,0139,Rock,Water,Spiral Pokémon,1,35,87.5,12.5,70,60,125,115,70,55,495
Kabuto,https://pokemondb.net/pokedex/kabuto,0140,Rock,Water,Shellfish Pokémon,0.5,11.5,87.5,12.5,30,80,90,55,45,55,355
Kabutops,https://pokemondb.net/pokedex/kabutops,0141,Rock,Water,Shellfish Pokémon,1.3,40.5,87.5,12.5,60,115,105,65,70,80,495
Aerodactyl,https://pokemondb.net/pokedex/aerodactyl,0142,Rock,Flying,Fossil Pokémon,1.8,59,87.5,12.5,80,105,65,60,75,130,515
Snorlax,https://pokemondb.net/pokedex/snorlax,0143,Normal,,Sleeping Pokémon,2.1,460,87.5,12.5,160,110,65,65,110,30,540
Articuno,https://pokemondb.net/pokedex/articuno,0144,Ice,Flying,Freeze Pokémon,1.7,55.4,0,0,90,85,100,95,125,85,580
Zapdos,https://pokemondb.net/pokedex/zapdos,0145,Electric,Flying,Electric Pokémon,1.6,52.6,0,0,90,90,85,125,90,100,580
Moltres,https://pokemondb.net/pokedex/moltres,0146,Fire,Flying,Flame Pokémon,2,60,0,0,90,100,90,125,85,90,580
Dratini,https://pokemondb.net/pokedex/dratini,0147,Dragon,,Dragon Pokémon,1.8,3.3,50,50,41,64,45,50,50,50,300
Dragonair,https://pokemondb.net/pokedex/dragonair,0148,Dragon,,Dragon Pokémon,4,16.5,50,50,61,84,65,70,70,70,420
Dragonite,https://pokemondb.net/pokedex/dragonite,0149,Dragon,Flying,Dragon Pokémon,2.2,210,50,50,91,134,95,100,100,80,600
Mewtwo,https://pokemondb.net/pokedex/mewtwo,0150,Psychic,,Genetic Pokémon,2,122,0,0,106,110,90,154,90,130,680
Mew,https://pokemondb.net/pokedex/mew,0151,Psychic,,New Species Pokémon,0.4,4,0,0,100,100,100,100,100,100,600
Chikorita,https://pokemondb.net/pokedex/chikorita,0152,Grass,,Leaf Pokémon,0.9,6.4,87.5,12.5,45,49,65,49,65,45,318
Bayleef,https://pokemondb.net/pokedex/bayleef,0153,Grass,,Leaf Pokémon,1.2,15.8,87.5,12.5,60,62,80,63,80,60,405
Meganium,https://pokemondb.net/pokedex/meganium,0154,Grass,,Herb Pokémon,1.8,100.5,87.5,12.5,80,82,100,83,100,80,525
Cyndaquil,https://pokemondb.net/pokedex/cyndaquil,0155,Fire,,Fire Mouse Pokémon,0.5,7.9,87.5,12.5,39,52,43,60,50,65,309
Quilava,https://pokemondb.net/pokedex/quilava,0156,Fire,,Volcano Pokémon,0.9,19,87.5,12.5,58,64,58,80,65,80,405
Typhlosion,https://pokemondb.net/pokedex/typhlosion,0157,Fire,,Volcano Pokémon,1.7,79.5,87.5,12.5,78,84,78,109,85,100,534
Totodile,https://pokemondb.net/pokedex/totodile,0158,Water,,Big Jaw Pokémon,0.6,9.5,87.5,12.5,50,65,64,44,48,43,314
Croconaw,https://pokemondb.net/pokedex/croconaw,0159,Water,,Big Jaw Pokémon,1.1,25,87.5,12.5,65,80,80,59,63,58,405
Feraligatr,https://pokemondb.net/pokedex/feraligatr,0160,Water,,Big Jaw Pokémon,2.3,88.8,87.5,12.5,85,105,100,79,83,78,530
Sentret,https://pokemondb.net/pokedex/sentret,0161,Normal,,Scout Pokémon,0.8,6,50,50,35,46,34,35,45,20,215
Furret,https://pokemondb.net/pokedex/furret,0162,Normal,,Long Body Pokémon,1.8,32.5,50,50,85,76,64,45,55,90,415
Hoothoot,https://pokemondb.net/pokedex/hoothoot,0163,Normal,Flying,Owl Pokémon,0.7,21.2,50,50,60,30,30,36,56,50,262
Noctowl,https://pokemondb.net/pokedex/noctowl,0164,Normal,Flying,Owl Pokémon,1.6,40.8,50,50,100,50,50,86,96,70,452
Ledyba,https://pokemondb.net/pokedex/ledyba,0165,Bug,Flying,Five Star Pokémon,1,10.8,50,50,40,20,30,40,80,55,265
Ledian,https://pokemondb.net/pokedex/ledian,0166,Bug,Flying,Five Star Pokémon,1.4,35.6,50,50,55,35,50,55,110,85,390
Spinarak,https://pokemondb.net/pokedex/spinarak,0167,Bug,Poison,String Spit Pokémon,0.5,8.5,50,50,40,60,40,40,40,30,250
Ariados,https://pokemondb.net/pokedex/ariados,0168,Bug,Poison,Long Leg Pokémon,1.1,33.5,50,50,70,90,70,60,70,40,400
Crobat,https://pokemondb.net/pokedex/crobat,0169,Poison,Flying,Bat Pokémon,1.8,75,50,50,85,90,80,70,80,130,535
Chinchou,https://pokemondb.net/pokedex/chinchou,0170,Water,Electric,Angler Pokémon,0.5,12,50,50,75,38,38,56,56,67,330
Lanturn,https://pokemondb.net/pokedex/lanturn,0171,Water,Electric,Light Pokémon,1.2,22.5,50,50,125,58,58,76,76,67,460
Pichu,https://pokemondb.net/pokedex/pichu,0172,Electric,,Tiny Mouse Pokémon,0.3,2,50,50,20,40,15,35,35,60,205
Cleffa,https://pokemondb.net/pokedex/cleffa,0173,Fairy,,Star Shape Pokémon,0.3,3,25,75,50,25,28,45,55,15,218
Igglybuff,https://pokemondb.net/pokedex/igglybuff,0174,Normal,Fairy,Balloon Pokémon,0.3,1,25,75,90,30,15,40,20,15,210
Togepi,https://pokemondb.net/pokedex/togepi,0175,Fairy,,Spike Ball Pokémon,0.3,1.5,87.5,12.5,35,20,65,40,65,20,245
Togetic,https://pokemondb.net/pokedex/togetic,0176,Fairy,Flying,Happiness Pokémon,0.6,3.2,87.5,12.5,55,40,85,80,105,40,405
Natu,https://pokemondb.net/pokedex/natu,0177,Psychic,Flying,Tiny Bird Pokémon,0.2,2,50,50,40,50,45,70,45,70,320
Xatu,https://pokemondb.net/pokedex/xatu,0178,Psychic,Flying,Mystic Pokémon,1.5,15,50,50,65,75,70,95,70,95,470
Mareep,https://pokemondb.net/pokedex/mareep,0179,Electric,,Wool Pokémon,0.6,7.8,50,50,55,40,40,65,45,35,280
Flaaffy,https://pokemondb.net/pokedex/flaaffy,0180,Electric,,Wool Pokémon,0.8,13.3,50,50,70,55,55,80,60,45,365
Ampharos,https://pokemondb.net/pokedex/ampharos,0181,Electric,,Light Pokémon,1.4,61.5,50,50,90,75,85,115,90,55,510
Bellossom,https://pokemondb.net/pokedex/bellossom,0182,Grass,,Flower Pokémon,0.4,5.8,50,50,75,80,95,90,100,50,490
Marill,https://pokemondb.net/pokedex/marill,0183,Water,Fairy,Aqua Mouse Pokémon,0.4,8.5,50,50,70,20,50,20,50,40,250
Azumarill,https://pokemondb.net/pokedex/azumarill,0184,Water,Fairy,Aqua Rabbit Pokémon,0.8,28.5,50,50,100,50,80,60,80,50,420
Sudowoodo,https://pokemondb.net/pokedex/sudowoodo,0185,Rock,,Imitation Pokémon,1.2,38,50,50,70,100,115,30,65,30,410
Politoed,https://pokemondb.net/pokedex/politoed,0186,Water,,Frog Pokémon,1.1,33.9,50,50,90,75,75,90,100,70,500
Hoppip,https://pokemondb.net/pokedex/hoppip,0187,Grass,Flying,Cottonweed Pokémon,0.4,0.5,50,50,35,35,40,35,55,50,250
Skiploom,https://pokemondb.net/pokedex/skiploom,0188,Grass,Flying,Cottonweed Pokémon,0.6,1,50,50,55,45,50,45,65,80,340
Jumpluff,https://pokemondb.net/pokedex/jumpluff,0189,Grass,Flying,Cottonweed Pokémon,0.8,3,50,50,75,55,70,55,95,110,460
Aipom,https://pokemondb.net/pokedex/aipom,0190,Normal,,Long Tail Pokémon,0.8,11.5,50,50,55,70,55,40,55,85,360
Sunkern,https://pokemondb.net/pokedex/sunkern,0191,Grass,,Seed Pokémon,0.3,1.8,50,50,30,30,30,30,30,30,180
Sunflora,https://pokemondb.net/pokedex/sunflora,0192,Grass,,Sun Pokémon,0.8,8.5,50,50,75,75,55,105,85,30,425
Yanma,https://pokemondb.net/pokedex/yanma,0193,Bug,Flying,Clear Wing Pokémon,1.2,38,50,50,65,65,45,75,45,95,390
Wooper,https://pokemondb.net/pokedex/wooper,0194,Water,Ground,Water Fish Pokémon,0.4,8.5,50,50,55,45,45,25,25,15,210
Quagsire,https://pokemondb.net/pokedex/quagsire,0195,Water,Ground,Water Fish Pokémon,1.4,75,50,50,95,85,85,65,65,35,430
Espeon,https://pokemondb.net/pokedex/espeon,0196,Psychic,,Sun Pokémon,0.9,26.5,87.5,12.5,65,65,60,130,95,110,525
Umbreon,https://pokemondb.net/pokedex/umbreon,0197,Dark,,Moonlight Pokémon,1,27,87.5,12.5,95,65,110,60,130,65,525
Murkrow,https://pokemondb.net/pokedex/murkrow,0198,Dark,Flying,Darkness Pokémon,0.5,2.1,50,50,60,85,42,85,42,91,405
